,Headline,Body text,Meta Tags
0,Archive From 1989: Can The Human Mind Handle The Sensory Experience Of 16-Bit Technology?,,"vol 55 issue 21, archive, video games, sega, famicom, super mario world, ogn"
1,Weather Map,"WASHINGTON' With its vote to adopt a resolution denouncing the freshman' s congresswoman behavior, the House of Representatives formally censured Alexandria Ocasio-Cortez Friday for employing the sexist slur ' fucking bitch'  in a speech on the House floor the day prior. ' The representative from New York' s 14th District is hereby condemned for her unapologetic enunciation of these hateful, abusive words, which not only brought disgrace to this esteemed body but were incredibly demeaning to all womankind,'  House Minority Leader Kevin McCarthy said as he read aloud the official rebuke, adding that as a woman herself, Ocasio-Cortez should have known better than to speak aloud the unconscionable term, let alone read it into the Congressional Record. ' Her appalling speech of July 23 does not reflect the values of the United States Congress, nor does it reflect the example we wish to set for our children' especially our daughters. While this body will not ask what prompted her to adopt such unprofessional language, it will require the representative to issue an immediate apology to her colleagues or face further disciplinary action for her misconduct.'  In his own words, McCarthy went on to observe that it was too soon to tell just how far back Ocasio-Cortez had set ' young ladies'  in Congress with her ' hysterical'  outburst.","archive, weather, graphical feature, vol 29 issue 13, the onion"
2,Historical Archives: M. Webster' s New ' Dictionary'  Shall Burden Us With A Tyranny Of Words,"Be it Known, that the Scoundrel & Cat-A-Mite who goes by the Monniker of Noah WEBSTER, is presently at Work on the most Infernal and D' ' d of Bookes, that being a Dictionary, or a Sort of Primer or Manual, for the Spelling and Usage of the Written Worrd. It is, of Corse, Plain to all Rationnel Foulk that need' d we an Ary for our Diction, the LORD GODD HIM SELF would have design' d us One. For our Lingua Franca, Heven-decreed as it is, be meant to remane as Free as the Rivver-Curant or the Clowds; and this pompuss, detestible New-England School Marm should be a-Sham' d to assume he is more Qualliflied than his Fellow Man to instruck the Englysh Langguige & defy the Lord' s Will with a pryggish Parlour-Game such as This. What is More, asks the Founding Editing-Master of this News Gazette, How is One Suppos' d To ' Look-Up'  A Word, to use the curious Parlence of the Dictionarists, when One does not even know how it is Spelt any How? Mark well these Words, Meny a Sensible young Scholar shall pose this Same Question to their Grammer-Profesors in the Countrie' s Leurning-Academyes for Ages to come. Have we, in this Newe Wourld, cast off one Tyrant, who would taxx our Tea and Gov' rn us from A Far, only to adopt an Other who would shew us How to Speak, and Standerdise our Speling with a Rod of Iyrn, and Up Braid our ev' ry Pronouncement, as does a Dictinrie? For those of Us who fondley recall our own eleven or twelf Hours of formel Schooling, learning our Letterrs from no less Imminent a Sorce than the Holey Byble, upon a Hickory-Bench with a sole Candel furnishing our Light, we say, a Resolute NAY; and hope that Noah Webster take up his Dicktion' ry, & all its Pages, and rub them in Sandd, & cuase them to become Coarse there-by; and then send it up his ver' y Fundament. For it is a Guiding Principel, not only of our new Repubblick, but of this Newses Paper, that no Man shall be told how to Spelle, nor to Speake, nor be Bounded by a Ruling that does not Agree with Himm. The ONNIYON wishes to edvise its Reader Ship to Take any Dixionnaire they might Find, and cast it into the near' st and hott' st Fyre withal; and perhaps a sim' lar Fate should be fall this Mr. Webst' r as well. And Be Ware, also, of Rogues who try to sell you on a Suppelment' ry Glossarie, or a beastly Thing known as a Thesaurus, as they too are compleatly malnecessarry.","archive, vol 44 issue 40, the onion"
3,Ask a Slaughterhouse Killing Floor Worker,"Dear Slaughterhouse Killing Floor Worker: My wife and I recently moved from Florida to Minnesota, where I was offered a much better job. Problem is, she hates everything about Minnesota. Am I being cruel or is she just being stubborn? ' Stumped in St. Paul Dear Stumped, A cow' s skull is remarkably thick, so you' ve got to give it a terrific wallop. In the old days we' d use a cast iron mallet, but it' s hard to deliver a home-run swing all day long. I recommend a modern pnuematic bolt gun for both ease of use and efficient kill-through ratios. Remember, though, any method will still cover the floor with blood and brains, so keep those non-skid boots. Dear Slaughterhouse Killing Floor Worker: I' m 34 and still looking for that one special guy. I' ve tried everything from the produce aisle to the bar scene to church, but I keep coming up with duds. My friend swears by singles cruises. What do you think? ' Lonely in Lawrenceville Dear Lonely, Meat gobbets and sharp bone fragments are definitely a concern. Find the highest quality eye protection you can find, and wear it from the moment you set foot on the floor. If you' re going to be gutting or flensing, thigh-high rubber boots and thick aprons are a necessity. But unfortunately, when rendering hogfat into lard, they' re also an invitation to heatstroke. If in doubt, ask your line supervisor. Dear Slaughterhouse Killing Floor Worker: My last boyfriend misses my dog Robby terribly and comes to visit him whenever he' s around. It' s getting on my nerves. How do I tell him to give me and Robby some space? ' Cute Pooch in Baton Rouge Dear Cute Pooch, Try as you may, you' re never going to keep all the smaller particles of hair, bone, gristle, and assorted effluvia from getting into your meats. Unless you' re finding, say, mouse droppings, housefly eggs, or used band-aids in your sausages, I really woudn' t worry. James Reedy is a syndicated columnist whose column, Ask a Slaughterhouse Killing Floor Worker, appears in over 250 newspapers nationwide.","archive, advice, vol 29 issue 24, james reedy, the onion"
4,Local Merchant 'Sane Freddie' Driven Out of Business,"Unable to Compete With New Breed of Insane Retailers SCHAUMBURG, IL' A era in discount merchandising came to an end Sunday, when the last of the famed Sane Freddie' s electronics stores closed its doors, a victim of what one industry analyst termed ' the trend toward psychosis in American retail.'  ' I am a reasonable human being with reasonable prices,'  said Frederick ' Sane Freddie'  Klein. ' My competitors, on the other hand, are insane. I can no longer compete. A Panasonic XBS-2000 CD boom box with detachable speakers and MegaBass for $129? That' s pure madness. A Magnavox 19-inch TV with SurroundSound for $199? Utter insanity.'  Klein, 43, built an audio and video empire and became a familiar figure on television with his promises of ' rational prices and lucid service.'  Customers had long marvelled at his ability to keep his head about him and control his temper, even during the enormously hectic holiday shopping season. ' His stores were models of moral and intellectual stability,'  said Frances Noonan, a long-time friend and customer of Klein' s. ' Whether I was buying a new Aiwa-brand 300-watt stereo or just a few 12-packs of Duracell AA batteries, everyone who worked there was consistently coherent. '  Those familiar with the retail industry say there is no longer room for merchandisers such as Klein in an era dominated by schizophrenic, paranoid and utterly delirious entrepreneurs. ' This was inevitable,'  said Douglas Lehman of The Wall Street Journal. ' If you look around the business landscape right now, the big retailers are Schizophrenic Johnny' s, Mentally Ill Nate' s, and Electronics Gone Completely Awry. These places are owned and staffed by the certifiably insane, and their prices are so low they reflect a profound loss of contact with reality.'  Reaction among Klein' s competitors was mixed. ' Bat-shit Freaking Insane'  Johnny Petrocelli, whose self-named string of electronics stores recently opened its 200th outlet, gloated over the business demise of the man he said had ' installed the transmitting bug in my ear that sends my thoughts to the head of the CIA.'  Offering kinder words was kitchen appliance tycoon ' Nutty'  Nate Roberts, one of whose 13 separate personalities, ' Victor,'  praised Klein as ' my Daddy.'  Electronics is but one of many industries being revolutionized by the current demand for mental illness in business. $45 million was made last year by Psychopathia Sexualis Mufflers, an automotive-supply store founded jointly by 15 patients of the California Home for the Criminally Insane.","local, archive, news, vol 29 issue 24, local"
5,Pet Eligibles,"Critters Who Need Good Homes Maggie, a six-year old Australian Shepherd mix, has an unbelievable tongue that's eager to lick gravy off anything; maybe even you! Loves kids. Max, a three-year-old tabby, was given up recently by his owner. Perfect for medical experiments requiring animals with iron constitutions and high pain thresholds. CHICAGO' Urging everyone to lighten up and ' save the pearl-clutching'  for real problems, local catcaller Will Snyder confirmed Friday that he was not sure what the big deal was because he' d love it if a woman referred to him as a fat, stuck-up bitch. ' No one ever calls me a dumb filthy whore when I' m headed home after a long day of work, but you know what, it sure would be a nice thing to hear every now and then,'  said Snyder, 27, adding that it would be a tragedy if the political correctness of the #MeToo era had reached a point where it might prevent a woman from walking close behind him for several blocks and then telling him he was an ugly, uptight cunt who needed to be fucked hard. ' Honestly, what' s the problem? I' d be flattered if some girl blocked my path on the sidewalk, grabbed her crotch, and told me my big slutty lips would look great on her pussy. That' s a compliment in my book, so don' t act all offended when you hear that kind of thing from me.'  The catcaller then reportedly sighed and reiterated his long-held position that there wasn' t much he could do about it, because they were ' all a bunch of frigid dykes.' ","local, archive, archive, vol 29 issue 24, local"
6,My Seed Is Pure,"For eight years I have been the leading supplier of hybrid seed corn in Winneshiek County, and the reason is clear: My seed is pure! I have come to assume my dominant position in this farm community due to the high quality and timely delivery of my seed. Come to Schmidt Feed and Farm Supply, conveniently located in Kendallville just over the bridge, and you will leave smiling and satisfied in every way' if not utterly amazed at the performance. You must have my seed! Utilize my select seed, and your crop will show resistance to blight and drought, and be less susceptible to common strain stalk diseases. If you do not believe me, I will take you to my own farm, and I' ll show you the potency of my seed. Strong, turgid, fattening plants shoot up through the ground in the torrid Iowa sun. Grab the thick base of the stalk in your hand and feel that it is alive and growing larger by the minute. Sweat will shine on your face as you ride my massive tractor around the grounds of my expansive farm. I will smile down at you as you kneel and gently run your hands through the moist patch of dense growth at my most precious, secret spot' the plot of land where I personally test each and every variety of seed corn that I sell. Ask me for my seed and the day you have longed for, have dreamed about, will soon arrive: When the corn is large and ripe for the taking, you can place your lips around the heavy cob, savoring the texture and the smell and finally the taste as you bite gently and your mouth is filled with sweet juice. Then you will thank me˚Äf thank me passionately. For I provided you with top quality farm supplies at a reasonable price! We' re just a block from Dr. Hillberg' s Veterinary Clinic and the Kendallville Credit Union, so enjoy the convenience of just one trip to town! For eight years people have traveled miles for my potent seed, fighting for a place in line. I invite women and men alike to share in my superior seed, but in this day and age I must also be careful. If there is someone who is not fit to carry my seed and bring it to term, whether it be because of a broken wagon or a dry well, I will not waste my seed on them. My seed is select! Come to Schmidt' s Feed and Farm Supply and experience it for yourself. My oldest children rush about the store to fulfill my orders, while I take customers to the back storeroom one by one. There I show them my burlap sacks, heavy and bulging with premium seed proven for its fertility. Even if you' ve heard the stories, you' ll still be astounded when I pour my seed out into your very hands. Because my seed corn is guaranteed to be free of insects and rodents, and carefully tested for bacteria, fungus, and spore growth. Bill Edwards, of Cloverleaf Hy-Bred Seeds, often comes to scout out my store. He walks by silently with his hands in his overall pockets, sucking on a stalk of wheat. I lock eyes with him, and the hair under his John Deere cap bristles, but I do not even flinch a muscle. I have marked my territory' it is all of Winneshiek County' and I will continue to bury my robust seed ","opinion, archive, commentary, vol 29 issue 24, eldon schmidt, the onion"
7,A Message from the Publisher: Only Hoover Can Get America Back to Work!,"As I recall, it was the night of August 8, 1932. Hoover was in office, and my family was fighting to rally support for his re-election bid of that year. Let him finish the job! Only Hoover can get America back to work! Nurse! You infernal she-beast! Apply my ointment! I swear to you, dear reader, that half-bovine nurse of mine is stone deaf. I' ve been ringing her bell solidly for the past three days, and she has yet to respond to me with more than a grumpy look and a perfunctory and slipshod performance of her bedpan emptying duties. The newspaper press foreman was wiping down the metal blocks of type from the previous day' s issue of The Onion. The cover story was a hearty skewering of Roosevelt' s latest cock-and-bull welfare program, as I recall. Throw the Harvard bum out! He' ll never get re-elected! Down with the Menken' Horace Act! And it was on this stormy night, some 56 years ago now, that an event which shaped our history was brewing. I have called and called. That god-damned infernal nurse is not coming. I' m bleeding out of my wrinkled old anus! My shriveled pancreas is secreting yellowish fluid through my esophagus! Hear me, witch! You wretched old withered husk of a woman! I am a feeble, dying man. Yet with all my strength I cry out for the nurse. Every three seconds I bellow at the top of my shrunken, black lungs, encrusted as they are with printers'  ink and cigar resin: ' Infernal nurse! Come to my aid!'  It was a night of legend, a night of which history is made. Magic was truly in the air. I was remembering something just now. What was it? Ah, dammit. Death to the heathen Chinese! Remember the Maine! 44-40 or fight! Loose lips sink ships! A chicken in every pot! Vote for Huey Long! Every man a king! T. Herman Zweibel, the great grandson of Onion founder Friedrich Siegfried Zweibel, was born in 1868, became editor of The Onion at age 20, and persisted in various editorial posts until his launching into space in 2001. Zweibel's name became synonymous with American business success in the 20th century. Many consider him the ' Father Of American Journalism,'  also the title of his well-known 1943 biography, written by Norman Rombauer.","opinion, archive, commentary, vol 29 issue 24, t. herman zweibel, the onion"
8,"Either Hubby Rick's Wacky Acrylic Baseball Cap Collection Goes, Or I Go!","Well, I finally finished the spring housecleaning. Now I understand why people give their houses a good cleaning only once a year' what a chore! We didn' t have dust bunnies, we had dust bears! And my vacuum cleaner was working so much overtime it almost went on strike! But the worst chore of all had to be cleaning out the closets. The clutter had to be seen to be believed! Call me a sentimental sap, but I just can' t bring myself to toss out my old Holly Hobbie silkscreen pillow. And I will admit to you right now I still have the Kotex Junior Miss Sanitary Napkin Belt the school nurse gave us gals in seventh grade gym class! But hubby Rick is even worse! This became apparent when I yanked out one of the drawers from our waterbed and pulled out a stack of the grimiest-looking baseball caps you' ve ever seen! And they' re not just dirty literally' the caps have raunchy sayings on them too. Now I' m not knocking hats with sayings on them' some of them are really clever. Just the other day I couldn' t resist buying one from the Hallmark store that said, ' Physically Fit˚Äf To Eat Chocolate!'  But Rick' s are the most offensive and tasteless things I had ever seen! One had a picture of a drunk at a bar saying, ' If You Saw My Wife, You' d Drink Too!'  Another said, ' I Have a PMS Wife' A Pretty Mean Sow!'  And I nearly flipped my wig when I saw, ' No Fat Chicks!'  I never felt so humiliated in all my life! This was worse than the time Rick read my diary! It was like Rick was making fun of me in the crudest way possible in front of his friends and co-workers at the tire center, and I had no way to fight back! Well, I may be amply proportioned, but you can be certain Rick is no Cary Grant, and I' ve never worn anything that made fun of him! (Okay, I admit to owning an ' Old Fart' s Wife'  sweatshirt, but I haven' t worn it in the longest time.) So it goes without saying I gave Rick a great big piece of my mind that evening! At first, he tried to ignore me by watching his sports bloopers tape, but he sure sat up and took notice when I threatened to leave him if he didn' t trash those caps! But instead of seeing the error of his ways, he started whining about how he was always getting ridiculed in my column and how his buddies were now referring to him as ' Hubby Rick","opinion, archive, commentary, vol 29 issue 24, jean teasdale, the onion"
9,U.S. Schools Unveil New Tony Danza-Based Curriculum,"Focus to Shift from Reading and Math to Likable Veteran Sitcom Star WASHINGTON, D.C.' Ushering in a new era in American education, U.S. Secretary of Education William Norwell announced Monday that all U.S. public schools will soon switch to a rigorous, Tony Danza-based curriculum. ' As things stand now, our kids simply aren' t learning enough about Tony Danza,'  said Norwell, explaining the switch. ' Unde r the new plan, by the time every American youngster graduates from high school, they will have a rock-solid foundation in all the basics of Tony Danza.'  Under the new plan, by second grade, all students will have a basic working knowledge of Who' s The Boss. By sixth grade, all U.S. students will gain full exposure to the first four seasons of Taxi, in addition to a basic familiarity with the 27 post-Andy Kaufman episodes. By senior year of high school, all students will have gained a broad, sophisticated understanding of every aspect of Danza' s career, including his work in the 1981 film Going Ape!, early television commercials and recent starring role on ABC' s Hudson Street. ' I am confident that America' s children will receive the finest Tony Danza education anywhere on earth,'  Norwell said. ' And as a result, they will graduate better prepared to face the Tony Danza-related demands of the working world than the youth of any other nation.'  According to a 1990 survey, America' s schools ranked 41st out of 45 industrialized nations in quality of Tony Danza education. Norwell first came up with the plan after visiting a Spartanburg, SC, high school in 1994. ' I talked to some of the students and was appalled by what I heard,'  Norwell said. ' There were kids who didn' t know the last name of Tony' s Who' s the Boss character. Kids who had never seen Taxi. There was even one young man who had never even heard of She' s Out of Control, the 1989 comedy in which Tony plays the overprotective father of a boy-crazy teenage girl. That' s just wrong.'  O","education, archive, news, vol 29 issue 24, the onion"
