,Headline,Body text,Meta Tags
0,"Your Horoscopes ' Week Of July 21, 2020",,"vol 56 issue 29, horoscope, entertainment"
1,MTV Names Richard Lewis New Host of 'Wild 'N Out' In Effort To Court Jewish Audience,,"vol 56 issue 29, wild 'n out, richard lewis, nick cannon, entertainment"
2,Will Smith Reveals Extramarital Relationship With Younger 'Gemini Man' Co-Star,"CALABASAS, CA'In an effort to finally set the record straight, actor Will Smith revealed Tuesday that during the film's production in 2018, he had engaged in a passionate extramarital relationship with his younger Gemini Man co-star. 'We hit a rough patch in our marriage a few years back, and I found myself locked in an intense relationship with my co-star,' said Smith, who insisted the affair was 'never predatory' despite the vast age difference between the two and confirmed rumors that the relationship started at around the same time Jada Pinkett Smith began her romantic entanglement with singer August Alsina. 'I don't even think of it as infidelity because I got tacit permission to pursue this relationship. It's usually pretty easy for me to separate work and personal life, but never before had I felt such a strong connection. It was like we had known each other our whole lives'we had more in common than I could ever imagine. We'd shoot our scenes and I would just lose myself in those kind eyes.' At press time, a teary eyed Smith recalled the end of their relationship after his co-star fell in love with Jada. ","vol 56 issue 28, will smith, celebrities, entertainment"
3,"Your Horoscopes ' Week Of July 14, 2020",,"vol 56 issue 28, horoscope, entertainment"
4,Ominous Musical Cue Clarifies Audience Supposed To Be Frightened Of Blood-Splattered Man With Pickaxe,,"vol 56 issue 28, movies, violence, music, entertainment"
5,"Your Horoscopes ' Week Of July 7, 2020",,"vol 56 issue 27, horoscope, entertainment"
6,Best Recipe Blogs,"Blogs for recipes have exploded in popularity over the past several years, with everyone from professional chefs to self-trained cooks providing recipes, inspiration, and tips to the foodie community. The Onion takes a look at the best recipe blogs on the internet. Serious Eats: This soberly written publication, which eschews the frivolity of pictures, is not for those seeking flourish, but rather the refined epicurist who understands the gravity food preparation requires. Minimalist Baker: Offers mainly gluten-free and vegan recipes that can all be completely botched in under 30 minutes. Water Boiler's Paradise: Nothing but water-boiling tips and tricks for those who just can't get enough scalding-hot aqua! Kitchn: Daily articles on food and lifestyle that its founders desperately hope will keep you coming back even after you've learned to make two or three passably good dishes. Gimme Some Oven: One of the most widely followed and successful food blogs despite only having a single post from 2008 about how to cook beans. My Baking Addiction: Decadent dessert recipes that are way too much work to be habit-forming. Food52: Sure, their delicious recipes will last you 52 days out of the year, but good luck when they leave you utterly helpless over the course of the remaining 313. Cute Love Kindly Spiced: A woman named Kenzie shares photos of her blond children posing inside her 4,500-square-foot house and never mentions food once.","vol 56 issue 26, food, entertainment"
7,Economist Has Great Idea For Sitcom Where Keynesian And Friedmanite Have To Live Together,"NEW HAVEN, CT'Revealing that he already had enough story arcs to fill a couple seasons of the show, economist John Stephens confirmed to sources Monday that he has a great idea for a sitcom where a Keynesian and a Friedmanite have to live together. 'So get this: Doug and Jeff have totally opposite beliefs about macroeconomic theory and what drives economic cycles'think of all the hijinks in their conflicting approaches to buying a new dishwasher alone,' said the excited economist, who added that he was thinking of titling the multi-camera half-hour comedy about the two acolytes squabbling over chores, noise, and exchange-rate flexibility It's The Economy, Stupid, and ideally that Simon Helberg and Neil Patrick Harris would star. 'I have a buddy in Hollywood who I sent my pilot to, and I don't see how they couldn't give this a full run. Just imagine the arguments: 'Oh, you demand that I clean the dishwasher? You don't know anything about demand!' You'd have the Friedmanite, Doug, trying out all these crazy schemes to try to earn money through supply-side market manipulation. And when the Keynesian, Jeff, is trying to find a job, Doug keeps telling him that the government doesn't owe him employment. But of course they'd learn things from each other too over the course of the show'the Keynesian would soften his stance on aggregate demand, and the Friedmanite would admit that maybe he could stand to be a little bit more understanding about deregulation. They'll also have this crazy Hispanic communist neighbor who both of them are constantly trying to get to move out. Plus we could get cool guest stars, like Alan Greenspan!' At press time, the studio had passed over Stephens' sitcom idea in favor of a single-camera show by a psychologist where a Freudian and a Skinnerian have to live together.","vol 56 issue 26, television, entertainment"
8,AMC Unveils Covid-19 Guidelines Requiring All Movie Characters To Wear Masks,,"vol 56 issue 25, movies, business, coronavirus, entertainment"
9,Tuba Player In John Williams Orchestra Loves Giving Little Toot When Something Dramatic Happens,,"vol 56 issue 23, music, movies, entertainment"
10,"Your Horoscopes ' Week Of June 9, 2020",,"vol 56 issue 23, horoscope, entertainment"
11,"Your Horoscopes ' Week Of June 2, 2020",,"vol 56 issue 22, horoscope, entertainment"
12,,"Words: More complicated than syllables but less complicated than sentences, words are great for people who are comfortable reading but are still getting their bearings.           ","vol 56 issue 21, books, entertainment"
13,"Your Horoscopes ' Week Of May 26, 2020",,"vol 56 issue 21, horoscope, entertainment"
14,,"You Oughta Know' ' Alanis Morissette (1995): While speculation has persisted for years regarding just whom Morissette was addressing in this timeless cut off the celebrated '90s album Jagged Little Pill, the songwriter herself recently admitted what many had long suspected: The tune was written about renowned actor and her former flame Tom Selleck.         ","music, slideshows, vol 56 issue 20, celebrities, entertainment"
15,"Your Horoscopes ' Week Of May 19, 2020",,"vol 56 issue 20, horoscope, entertainment"
