,0
0,https://local.theonion.com/catcaller-not-sure-what-the-big-deal-is-since-he-d-love-1844466951
1,https://local.theonion.com/huh-that-s-kind-of-weird-thinks-fruit-fly-diving-in-1844455270
2,https://local.theonion.com/man-unaware-majority-of-his-life-s-failures-directly-ca-1844455228
3,https://local.theonion.com/toddler-feels-somewhat-torn-about-pretending-to-be-poli-1844443818
4,https://local.theonion.com/dog-could-really-go-for-some-women-s-underwear-right-no-1844421571
5,https://local.theonion.com/father-s-increasingly-virulent-racism-excused-because-o-1844407620
6,https://local.theonion.com/gentle-whisper-of-wind-through-willows-dappling-of-sun-1844392258
7,https://local.theonion.com/unprocessed-rage-taken-out-on-eyebrows-1844392191
8,https://local.theonion.com/woman-crushing-spider-as-humanely-as-possible-1844375471
9,https://local.theonion.com/hey-i-think-you-re-muted-man-tells-coworker-screami-1844367076
10,https://local.theonion.com/total-banger-on-grocery-store-loudspeaker-interrupted-f-1844325637
11,https://local.theonion.com/corrupt-policeman-worried-about-working-with-partner-wh-1844309860
12,https://local.theonion.com/record-7-of-birthday-cake-slice-makes-it-into-grandmot-1844307909
13,https://local.theonion.com/man-somehow-able-to-muster-strength-to-fold-laundry-wit-1844306427
14,https://local.theonion.com/vacuous-fool-using-wicker-and-rattan-interchangeabl-1844280153
15,https://local.theonion.com/mom-wants-to-know-what-kind-of-iphone-she-has-1844277926
16,https://local.theonion.com/man-doing-whippet-while-setting-off-m-80-in-woods-behin-1844265945
17,https://local.theonion.com/police-department-celebrates-fourth-of-july-by-using-fi-1844265934
18,https://local.theonion.com/yeah-we-could-invite-friends-over-and-call-it-a-suppe-1844258678
19,https://local.theonion.com/dad-speaks-for-first-time-in-7-years-to-ask-if-anyone-h-1844244446
20,https://local.theonion.com/google-alert-for-old-classmate-pays-off-big-time-with-s-1844244419
21,https://local.theonion.com/so-called-vegetarian-always-kills-devours-chicken-whol-1844244224
22,https://local.theonion.com/friends-camping-out-in-woods-just-happy-to-escape-the-d-1844231094
23,https://local.theonion.com/teenage-boy-fears-girlfriend-will-pressure-him-into-sho-1844231061
24,https://local.theonion.com/masturbating-female-spider-instinctively-eats-self-afte-1844230524
25,https://local.theonion.com/friends-itching-to-destroy-man-excitedly-sharing-factoi-1844216472
26,https://local.theonion.com/delivery-bag-gets-battlefield-promotion-up-to-napkin-1844201471
27,https://local.theonion.com/russian-bathhouse-guest-having-trouble-relaxing-over-so-1844201449
28,https://local.theonion.com/texas-children-open-oil-derrick-to-splash-around-on-hot-1844161122
29,https://local.theonion.com/single-thick-black-hair-wondering-where-it-made-wrong-t-1844146460
30,https://local.theonion.com/cat-sticks-paw-around-corner-like-life-some-big-fosse-r-1844146375
31,https://local.theonion.com/dog-owner-not-sure-how-city-expects-her-to-pick-up-ever-1844121395
32,https://local.theonion.com/day-mockingly-beautiful-1844118329
33,https://local.theonion.com/mom-comes-back-from-long-call-with-friend-looking-real-1844086509
34,https://local.theonion.com/and-what-do-we-want-to-do-about-this-nest-full-of-baby-1844072541
35,https://local.theonion.com/sweat-soaked-mattress-praying-this-the-year-couple-inve-1844067923
36,https://local.theonion.com/manipulative-stepmom-only-married-dad-so-she-could-take-1844067882
