,0
0,https://sports.theonion.com/excited-vlad-guerrero-jr-can-t-believe-he-gets-to-keep-1844497963
1,https://sports.theonion.com/cubs-install-cardboard-cutouts-of-fans-pissing-all-over-1844491563
2,https://sports.theonion.com/baseball-fan-excited-for-return-of-switching-to-movie-a-1844470840
3,https://sports.theonion.com/lebron-james-on-quest-to-hunt-down-owners-of-rare-rooki-1844470779
4,https://sports.theonion.com/apologetic-dan-snyder-pledges-to-spend-rest-of-life-re-1844421503
5,https://sports.theonion.com/mike-greenberg-encouraged-to-wear-mask-to-help-prevent-1844405499
6,https://sports.theonion.com/jerry-jones-changes-team-s-name-to-redskins-now-that-it-1844380517
7,https://sports.theonion.com/cdc-guidelines-say-it-s-safe-to-play-tennis-if-that-s-h-1844339256
8,https://sports.theonion.com/apologetic-desean-jackson-pledges-to-learn-more-by-goin-1844326180
9,https://sports.theonion.com/cam-newton-scrambling-to-get-up-to-speed-after-patriots-1844324700
10,https://sports.theonion.com/mls-commissioner-relieved-that-nobody-knows-him-by-name-1844134891
11,https://sports.theonion.com/staples-center-employee-realizes-he-left-shot-clock-buz-1844086737
12,https://sports.theonion.com/entire-oklahoma-state-team-to-boycott-season-after-mike-1844057017
13,https://sports.theonion.com/fantasy-baseball-league-commissioner-knows-handling-of-1844049663
14,https://sports.theonion.com/adidas-unveils-new-line-of-soccer-stuff-1844038822
15,https://sports.theonion.com/red-sox-ask-fans-to-switch-from-racial-to-homophobic-sl-1844014433
16,https://sports.theonion.com/kyrie-irving-suggests-nba-hold-games-inside-higher-plan-1843952151
17,https://sports.theonion.com/the-greatest-nba-teams-of-all-time-1843909752
18,https://sports.theonion.com/roger-goodell-insists-martin-luther-king-jr-would-have-1843860123
19,https://sports.theonion.com/adam-silver-shows-solidarity-with-players-by-inserting-1843756926
20,https://sports.theonion.com/governor-upset-barber-would-be-so-reckless-as-to-get-ne-1843610342
21,https://sports.theonion.com/german-soccer-league-simulates-presence-of-fans-by-pump-1843591435
22,https://sports.theonion.com/nfl-reminds-black-coaches-they-ll-get-their-chance-once-1843588703
23,https://sports.theonion.com/desperate-sports-fan-would-almost-be-willing-to-watch-o-1843482479
24,https://sports.theonion.com/11-greatest-sports-moments-made-possible-by-peds-1843461925
25,https://sports.theonion.com/the-last-dance-director-defends-creative-choice-to-fl-1843396972
26,https://sports.theonion.com/stephen-a-smith-i-ve-loved-ha-seong-kim-for-years-b-1843319538
27,https://sports.theonion.com/golden-boy-boxing-applies-for-ppe-loan-to-continue-payi-1843318454
28,https://sports.theonion.com/belarusian-soccer-execs-pop-champagne-on-new-mega-yacht-1843246167
29,https://sports.theonion.com/ncaa-wonders-why-financially-struggling-student-athlete-1843202835
30,https://sports.theonion.com/charles-barkley-michael-jordan-would-have-been-nothin-1843183469
31,https://sports.theonion.com/jay-cutler-s-marriage-completion-percentage-drops-to-ze-1843134951
32,https://sports.theonion.com/millions-of-last-dance-viewers-hooked-by-thrilling-be-1843052352
33,https://sports.theonion.com/89-year-old-football-fan-still-finds-it-surreal-that-dr-1843029326
34,https://sports.theonion.com/tampa-bay-also-acquires-deion-branch-kevin-faulk-troy-1843026345
35,https://sports.theonion.com/top-prospects-of-the-2020-nfl-draft-1843020546
36,https://sports.theonion.com/rob-gronkowski-hoping-bucs-trade-for-tom-brady-too-1843005892
37,https://sports.theonion.com/gronkowski-breaks-6-tackles-on-way-out-of-neurology-cli-1843007131
38,https://sports.theonion.com/novak-djokovic-clarifies-anti-vaccine-comments-by-insis-1842984797
39,https://sports.theonion.com/regretful-the-last-dance-producers-realize-they-proba-1842925715
40,https://sports.theonion.com/potential-ways-for-sports-to-restart-during-coronavirus-1842924702
41,https://sports.theonion.com/taiwanese-robot-baseball-fan-ejected-for-yelling-slurs-1842920399
42,https://sports.theonion.com/bulls-fire-gm-after-6-week-winless-streak-1842882040
43,https://sports.theonion.com/olympic-torchbearer-has-been-jogging-in-place-on-street-1842748057
44,https://sports.theonion.com/espn-execs-fuck-it-air-the-dogfighting-1842661538
45,https://sports.theonion.com/quarantined-umpire-cleans-his-entire-home-with-tiny-bru-1842644629
46,https://sports.theonion.com/avid-sports-bettor-forced-to-gamble-on-stock-market-lik-1842616280
47,https://sports.theonion.com/kawhi-leonard-misses-second-consecutive-family-game-nig-1842531002
48,https://sports.theonion.com/tom-brady-awakens-from-week-long-kombucha-bender-to-dis-1842508215
49,https://sports.theonion.com/olympic-dressage-rider-enraged-after-spending-past-4-ye-1842472291
50,https://sports.theonion.com/bucs-sign-replacement-level-veteran-to-hold-down-qb-pos-1842396968
51,https://sports.theonion.com/kansas-basketball-devastated-they-won-t-get-opportunity-1842384226
52,https://sports.theonion.com/tom-brady-i-want-to-thank-all-the-insufferable-new-en-1842379192
53,https://sports.theonion.com/orioles-suggest-that-mlb-maybe-consider-canceling-entir-1842312100
54,https://sports.theonion.com/james-harden-pledges-10-million-dollar-bills-to-keep-na-1842297145
55,https://sports.theonion.com/olympic-committee-announces-tokyo-games-will-still-go-o-1841981577
56,https://sports.theonion.com/nfl-draft-prospect-sets-combine-record-by-scrubbing-ent-1841980356
57,https://sports.theonion.com/professional-rodeo-cowboys-association-horrified-to-lea-1841961295
58,https://sports.theonion.com/timberwolves-fire-clerk-on-accounts-receivable-team-in-1841952574
59,https://sports.theonion.com/pete-alonso-asks-teammates-whether-they-d-all-rather-si-1841839285
60,https://sports.theonion.com/giannis-antetokounmpo-to-take-off-next-3-seasons-with-s-1841610005
61,https://sports.theonion.com/hawks-celtics-nets-hornets-bulls-cavs-mavs-nugge-1841496820
62,https://sports.theonion.com/chiefs-fan-adjusting-to-new-life-of-solely-being-depres-1841473618
63,https://sports.theonion.com/embarrassed-ben-simmons-retracts-criticism-of-sixers-af-1841474064
64,https://sports.theonion.com/andy-reid-after-super-bowl-win-i-can-now-die-of-a-hea-1841429266
65,https://sports.theonion.com/victorious-patrick-mahomes-thanks-bears-for-drafting-mi-1841420779
66,https://sports.theonion.com/chiefs-finally-overcome-curse-of-not-being-good-for-a-v-1841420721
67,https://sports.theonion.com/mike-shanahan-storms-onto-super-bowl-field-to-berate-re-1841420427
68,https://sports.theonion.com/adorable-super-bowl-encourages-fans-to-adopt-abandoned-1841420374
69,https://sports.theonion.com/bored-49ers-fan-already-watched-j-lo-perform-at-start-1841420207
70,https://sports.theonion.com/she-s-about-my-age-reports-mom-watching-halftime-sho-1841420256
71,https://sports.theonion.com/sammy-watkins-stops-running-in-middle-of-route-to-look-1841420073
72,https://sports.theonion.com/fox-adds-highlighted-line-on-field-showing-women-how-fa-1841420031
73,https://sports.theonion.com/nick-bosa-frustrated-some-guy-always-standing-in-way-wh-1841419963
74,https://sports.theonion.com/i-m-just-here-for-the-commercials-jokes-man-at-super-1841419832
75,https://sports.theonion.com/panicked-referee-trying-to-retrieve-super-bowl-coin-fro-1841419275
76,https://sports.theonion.com/increased-security-requirements-for-super-bowl-mandate-1841419244
77,https://sports.theonion.com/aaron-rodgers-pledges-to-dedicate-off-season-to-growing-1841327513
78,https://sports.theonion.com/seattle-mariners-offhandedly-suggest-astros-red-sox-1841281318
79,https://sports.theonion.com/pro-bowl-players-not-in-game-asked-to-sit-in-stands-to-1841238043
80,https://sports.theonion.com/eli-manning-retires-from-nfl-to-focus-on-being-statisti-1841204257
81,https://sports.theonion.com/the-onion-looks-back-on-the-hall-of-fame-career-of-a-1841165148
82,https://sports.theonion.com/conor-mcgregor-credits-excellent-pre-fight-shape-to-rou-1841087214
83,https://sports.theonion.com/ncaa-determines-becoming-a-bengal-punishment-enough-for-1841064671
84,https://sports.theonion.com/drew-brees-hoping-family-doesn-t-just-get-him-football-1840460746
85,https://sports.theonion.com/cubs-sign-sammy-sosa-to-300-million-deal-just-to-give-1840419634
86,https://sports.theonion.com/patriots-claim-unsanctioned-recording-was-only-for-proj-1840418375
87,https://sports.theonion.com/gordon-hayward-confident-he-still-has-his-most-gruesome-1840398194
88,https://sports.theonion.com/russian-olympic-program-denies-steroids-played-role-in-1840323744
89,https://sports.theonion.com/parents-sign-up-mitch-trubisky-for-rec-soccer-team-in-h-1840237493
90,https://sports.theonion.com/hands-off-fantasy-football-player-only-checks-team-132-1840204507
91,https://sports.theonion.com/antonio-brown-proves-he-s-changed-man-by-breaking-into-1840175282
92,https://sports.theonion.com/ovechkin-shanks-slapshot-into-stands-after-unruly-fan-c-1840069274
93,https://sports.theonion.com/kyrie-irving-debuts-signature-shoe-inspired-by-rfid-chi-1840003873
94,https://sports.theonion.com/matthew-stafford-admits-he-d-play-through-back-injury-f-1839984295
95,https://sports.theonion.com/clippers-ask-everyone-to-keep-it-down-while-they-rest-k-1839952882
96,https://sports.theonion.com/bengals-assure-injury-prone-tua-tagovailoa-he-can-have-1839961744
97,https://sports.theonion.com/guy-who-had-least-to-do-with-play-s-success-celebrating-1839910952
98,https://sports.theonion.com/fox-preempts-jets-redskins-game-in-first-quarter-for-mo-1839910829
99,https://sports.theonion.com/nfl-rescinds-myles-garrett-suspension-after-review-foot-1839896771
100,https://sports.theonion.com/colin-kaepernick-s-agents-assure-teams-his-cte-has-prog-1839895933
101,https://sports.theonion.com/magnanimous-mlb-awards-mvp-to-hardworking-stadium-conce-1839871153
102,https://sports.theonion.com/fan-wishes-team-was-sponsored-by-a-cooler-corporation-1839840671
103,https://sports.theonion.com/sacramento-pledges-to-power-arena-with-100-windmill-du-1839816176
104,https://sports.theonion.com/grizzled-white-bearded-donald-driver-emerges-from-7-ye-1839756123
105,https://sports.theonion.com/referee-reviewing-replay-excited-to-see-self-on-tv-1839756063
106,https://sports.theonion.com/lions-switch-to-no-coverage-defense-to-prevent-mitch-tr-1839755991
107,https://sports.theonion.com/self-conscious-nfl-referee-practices-raising-both-arms-1839564566
108,https://sports.theonion.com/adam-eaton-spends-nationals-parade-in-secure-bunker-as-1839552933
109,https://sports.theonion.com/nationals-admit-world-series-win-would-be-way-sweeter-i-1839505819
