,0
0,https://politics.theonion.com/timeline-of-presidential-polling-1844470819
1,https://politics.theonion.com/self-loathing-gop-congressman-can-t-believe-he-s-been-r-1844340622
2,https://politics.theonion.com/nancy-pelosi-calls-jamaal-bowman-to-scold-him-for-winni-1844151565
3,https://politics.theonion.com/georgia-secretary-of-state-vows-to-investigate-why-some-1843981174
4,https://politics.theonion.com/congress-announces-willingness-to-offer-black-lives-mat-1843954280
5,https://politics.theonion.com/democratic-leaders-announce-that-they-ve-learned-the-wo-1843882322
6,https://politics.theonion.com/she-needs-a-bible-now-fuckwad-yes-it-s-for-an-epic-c-1843862969
7,https://politics.theonion.com/dnc-to-streamline-fundraising-by-cutting-out-unnecessar-1843681760
8,https://politics.theonion.com/pros-and-cons-of-voting-by-mail-1843568379
9,https://politics.theonion.com/biden-campaign-email-trails-off-halfway-through-1843444941
10,https://politics.theonion.com/biden-campaign-considering-using-the-internet-to-attrac-1843291116
11,https://politics.theonion.com/nancy-pelosi-assures-democratic-reps-they-don-t-need-to-1843003799
12,https://politics.theonion.com/obama-i-m-so-proud-to-endorse-joe-biden-that-s-who-th-1842881728
13,https://politics.theonion.com/it-was-for-uh-medical-reasons-says-doctor-to-bori-1842783204
14,https://politics.theonion.com/i-congratulate-joe-biden-a-very-decent-man-says-ber-1842759492
15,https://politics.theonion.com/wisconsin-primary-voters-receive-i-voted-gravestones-1842729790
16,https://politics.theonion.com/senator-kelly-loeffler-asks-for-prayers-after-losing-3-1842729741
17,https://politics.theonion.com/georgia-governor-argues-that-closing-state-s-beaches-an-1842709493
18,https://politics.theonion.com/trump-admits-18-new-states-to-increase-competition-for-1842708962
19,https://politics.theonion.com/southern-governors-argue-covid-19-good-christian-virus-1842665057
20,https://politics.theonion.com/jared-kushner-says-states-should-have-planned-ahead-bef-1842664879
21,https://politics.theonion.com/how-coronavirus-has-changed-the-2020-primaries-1842618149
22,https://politics.theonion.com/trump-tackles-medical-supply-shortage-by-awarding-exxon-1842588943
23,https://politics.theonion.com/trump-delays-easter-to-july-15-to-keep-promise-on-coron-1842566559
24,https://politics.theonion.com/trump-announces-plan-to-retrain-nation-s-3-million-unem-1842531861
25,https://politics.theonion.com/what-s-in-congress-coronavirus-stimulus-bill-1842530403
26,https://politics.theonion.com/congress-sets-aside-1-200-in-trust-for-each-american-u-1842509829
27,https://politics.theonion.com/trump-s-call-to-reopen-economy-attributed-to-new-floati-1842490522
28,https://politics.theonion.com/trump-suggests-ceding-new-york-to-coronavirus-as-possib-1842477073
29,https://politics.theonion.com/trump-urges-loosening-cdc-restrictions-to-let-coronavir-1842473921
30,https://politics.theonion.com/gop-urges-end-of-quarantine-for-lifeless-bipedal-automa-1842461351
31,https://politics.theonion.com/richard-burr-wondering-when-profiting-off-mass-sufferin-1842428330
32,https://politics.theonion.com/trump-administration-releases-best-case-scenario-projec-1842417623
33,https://politics.theonion.com/trump-seeks-to-stimulate-economy-by-sending-rare-autogr-1842415662
34,https://politics.theonion.com/triumphant-jared-kushner-announces-plan-to-move-cdc-hea-1842410349
35,https://politics.theonion.com/trump-quietly-checks-with-aides-to-make-sure-he-d-be-in-1842399427
36,https://politics.theonion.com/conservative-worries-relief-checks-would-discourage-ame-1842396398
37,https://politics.theonion.com/congress-allocates-2-trillion-to-bail-out-struggling-b-1842376525
38,https://politics.theonion.com/biden-pledges-to-select-woman-as-vice-president-since-p-1842364522
39,https://politics.theonion.com/i-have-coronavirus-and-i-am-dead-says-trump-furtherin-1842318188
40,https://politics.theonion.com/frustrated-jared-kushner-doesn-t-get-why-everyone-in-me-1842315981
41,https://politics.theonion.com/kushner-announces-doctors-hate-him-after-he-discovered-1842314975
42,https://politics.theonion.com/trump-assures-americans-he-called-911-to-report-coronav-1842314224
43,https://politics.theonion.com/federal-reserve-takes-drastic-action-by-pumping-1-5-tr-1842301038
44,https://politics.theonion.com/biden-extends-olive-branch-to-biden-supporters-1842269384
45,https://politics.theonion.com/tulsi-gabbard-named-democratic-nominee-after-discovery-1842268489
46,https://politics.theonion.com/vote-blue-no-matter-who-vote-blue-no-matter-who-cha-1842237379
47,https://politics.theonion.com/biden-gives-speech-from-south-african-jail-cell-where-h-1842213538
48,https://politics.theonion.com/key-priorities-for-trump-s-reelection-campaign-1842156367
49,https://politics.theonion.com/biden-defends-past-inappropriate-touching-of-women-as-s-1842129609
50,https://politics.theonion.com/ruth-bader-ginsburg-flirting-with-67-year-old-intern-ag-1842129352
51,https://politics.theonion.com/vindictive-amy-klobuchar-elected-mayor-of-south-bend-i-1842125399
52,https://politics.theonion.com/biden-wondering-where-all-this-support-was-when-he-stil-1842124077
53,https://politics.theonion.com/sanders-supporter-urges-importance-of-listening-to-mino-1842094286
54,https://politics.theonion.com/biggest-takeaways-from-super-tuesday-1842093850
55,https://politics.theonion.com/frustrated-bloomberg-staffer-literally-just-aborted-fet-1842092411
56,https://politics.theonion.com/biden-says-incredible-comeback-proves-he-can-beat-progr-1842091985
57,https://politics.theonion.com/last-minute-change-to-super-tuesday-primary-rules-requi-1842061470
58,https://politics.theonion.com/biden-confident-after-spending-super-tuesday-stumping-a-1842059760
59,https://politics.theonion.com/i-m-proud-to-endorse-biden-and-so-are-all-of-you-ann-1842038057
60,https://politics.theonion.com/buttigieg-drops-out-of-democratic-race-after-slamming-o-1842030293
61,https://politics.theonion.com/damning-new-footage-shows-sanders-in-1980s-arguing-mado-1842016455
62,https://politics.theonion.com/trump-claims-responsibility-for-longest-black-history-m-1841991793
63,https://politics.theonion.com/warren-tells-supporters-to-cut-that-pinterest-shit-out-1841979434
64,https://politics.theonion.com/obama-kind-of-hurt-no-one-s-even-asked-for-his-endorsem-1841978356
65,https://politics.theonion.com/i-ll-show-those-pricks-screams-mitt-romney-driving-b-1841961340
66,https://politics.theonion.com/whatavirus-says-half-naked-mike-pence-brushing-crumb-1841960552
